business_age,education_years,age,female,nature_value,tourism_value,value_ha_cattle,value_ha_timber,d_compost,tourism_incomes,agro_incomes,otherjobs_incomes,pensions_incomes,leases_incomes,dividens_incomes,charity_incomes,other_incomes,food_expend,clean_expend,transport_expend,rent_expend,services_expend,recreation_expend,durables_expend,remittances_expend,health_expend,education_expend,taxes_expend,other_expend
8,7,48,1,5,5,.2,5.5,1,.15000001,0,.69999999,0,0,0,0,0,.15000001,.059999999,0,0,.015,0,0,.30000001,0,.02,0,0
4.5,3,50,0,5,5,.2,5.5,0,1,0,0,0,0,0,0,0,.23,.07,.029999999,0,.07,.050000001,.07,0,.02,.015,.0099999998,0
4.5,12,21,1,5,5,.2,5.5,1,.87699997,0,0,0,0,0,0,0,.30000001,.2,.2,.30000001,.30000001,.2,.15000001,0,.1,.13,0,0
4.5,16,49,0,5,5,.2,5.5,1,.80000001,.60000002,2,0,0,0,0,0,.5,.15000001,.2,0,.1,.2,.125,.2,.1,1,0,0
3,16,68,0,5,5,.1,5.5,1,.2,0,0,0,0,0,0,0,.40000001,.050000001,.12,0,0,0,0,0,0,0,0,.5
3,11,51,1,3,2,.2,5.5,0,.1,0,.60000002,0,0,0,0,0,.34999999,.1,.029999999,0,0,.1,.1,0,.0099999998,.029999999,0,0
20.166666,2,71,0,5,5,.2,5.5,1,2,0,0,0,0,0,0,0,.69999999,.1,.1,0,0,0,.15000001,0,0,0,.015,0
4.5,14,36,1,5,5,5,5.5,1,0,0,1.5,0,0,0,0,0,.40000001,.1,.2,0,.2,.2,.2,0,0,.02,0,0
6.0833335,12,44,0,5,4,.2,5.5,1,0,.25,0,0,0,0,0,0,.2,.029999999,.050000001,0,.032000002,0,.025,0,0,.0099999998,.0070000002,.134
29,16,58,0,5,5,.2,5.5,0,.34999999,0,1.75,0,0,0,0,0,.5,.1,.029999999,0,.115,.2,.12,0,0,0,0,1.3
10,17,48,1,5,5,.2,5.5,0,0,0,2.0999999,0,0,0,0,0,.40000001,.050000001,.1,0,.23999999,.25,.1,.30000001,.1,.1,0,0
12,16,62,0,3,5,1,5.5,1,.2,0,0,.94999999,0,0,0,0,1,.30000001,.15000001,.5,.28,0,.1,0,.079999998,0,0,0
4.5,13,25,0,5,4,.2,5.5,1,1.5,0,0,0,0,0,0,0,.2,.059999999,.1,0,0,0,.039999999,0,.035,0,0,0
3,11,34,0,5,4,.2,5.5,1,.1,0,.60000002,0,0,0,0,0,.30000001,.050000001,.1,0,.1,.050000001,.029999999,0,0,.050000001,.012,0
9,14,50,1,5,5,.2,5.5,0,.5,0,1.5,0,.75,0,0,0,.5,.1,.15000001,.5,.15000001,.1,.2,0,.5,.80000001,0,0
1.5,11,49,1,5,5,.2,5.5,1,.2,0,0,0,0,0,0,0,.40000001,.1,.079999998,.2,.029999999,.050000001,.079999998,0,.035,.02,0,0
3.6666667,13,34,0,5,4,.2,5.5,0,.30000001,0,1.9,0,.5,0,0,0,.2,.050000001,.059999999,.85000002,.059999999,.1,.25,0,0,0,0,0
4.5,11,54,1,5,5,.2,5.5,1,0,.108,.2,0,0,0,.30000001,0,.15000001,.02,.029999999,0,0,.0099999998,.02,0,.029999999,.015,0,0
4.5,5,43,0,3,4,.1,5.5,0,.039999999,.1,.15000001,0,0,0,0,0,.1,.029999999,.02,0,.050000001,0,.012,0,.050000001,0,0,.2
4.5,4,61,0,5,5,.2,5.5,1,0,.1,.1,0,0,0,0,0,.079999998,.029999999,.029999999,0,.039999999,0,.015,0,.0099999998,.02,0,0
1,17,58,0,5,5,.2,5.5,1,.2,0,0,0,0,0,0,0,.40000001,.1,0,0,.079999998,.050000001,.079999998,0,.035,.02,0,0
4.0833335,7,58,0,5,5,.2,5.5,1,1.2,0,0,0,0,0,0,0,.0099999998,.1,.059999999,0,0,.1,.02,0,.11,0,0,0
23.5,14,64,1,3,5,.0125,5.5,0,0,0,0,.87699997,0,0,0,0,.0099999998,.029999999,0,0,.029999999,.050000001,.1,0,.27500001,0,.0125,0
5,8,29,0,5,5,.2,5.5,0,.32499999,.5,.32499999,0,0,0,0,0,.60000002,.15000001,.14,.15000001,.23,0,.25,0,.066,.041999999,0,0
1,16,23,1,5,5,.2,5.5,1,.2,0,0,0,0,0,0,0,.89999998,.1,.039999999,0,.035,0,.2,0,.035,.02,0,.12
8.25,11,49,1,5,5,.2,5.5,1,.30000001,0,1.2,0,0,0,0,0,.60000002,.15000001,.050000001,0,.30000001,.15000001,.1,.30000001,.050000001,.1,.2,1
7.3333335,16,28,0,5,5,.11,.12,1,1.2,0,0,0,0,0,0,0,.34999999,.079999998,.090000004,0,.039999999,.029999999,.079999998,0,.2,0,0,0
3,16,31,0,5,5,.2,5.5,1,1.2,0,0,0,0,0,0,0,.02,.0099999998,.050000001,0,0,.050000001,.035,.60000002,.029999999,.025,0,.2
3,5,64,1,5,5,.2,5.5,1,.050000001,0,0,0,0,0,.059999999,0,.5,.15000001,.096000001,0,.126,0,.083499998,.1,.1,.15000001,4.9999999e-06,0
8,16,31,0,5,5,.2,5.5,1,0,0,1.2,0,0,0,0,0,.34999999,.15000001,.079999998,.60000002,.2,.30000001,.86000001,.1,.25,0,.0085000005,0
1.5833334,0,44,1,4,5,.2,5.5,1,.60000002,.60000002,0,0,0,0,0,0,.15000001,.15000001,.2,0,.0099999998,0,.125,.039999999,0,.2,0,0
3.8333333,11,53,0,5,5,.2,5.5,1,.30000001,0,.89999998,0,0,0,0,0,.60000002,.1,.1,0,.15000001,.050000001,.02,.0099999998,.0099999998,.059999999,.015,0
